set,cond_tag,trial_item,item_n,condition_label,comp,condition,words,struc,target_frame,prime,target,match_manip,string_length
6,d,6d,44,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the shade green,the black color,DIFF,15
6,e,6e,45,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue black beige,hue black beige,SAME,15
6,f,6f,46,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue beige black,hue black beige,DIFF,15
6,g,6g,47,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue green white,hue black beige,DIFF,15
6,h,6h,48,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue white green,hue black beige,DIFF,15
7,a,7a,49,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the shade black,the shade black,SAME,15
7,b,7b,50,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the black shade,the shade black,DIFF,15
7,c ,7c ,51,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the color green,the shade black,DIFF,15
7,d,7d,52,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the green color,the shade black,DIFF,15
7,e,7e,53,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan white black,tan white black,SAME,15
7,f,7f,54,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan black white,tan white black,DIFF,15
7,g,7g,55,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan beige green,tan white black,DIFF,15
7,h,7h,56,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan green beige,tan white black,DIFF,15
8,a,8a,57,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the black shade,the black shade,SAME,15
8,b,8b,58,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the shade black,the black shade,DIFF,15
8,c ,8c ,59,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the green color,the black shade,DIFF,15
8,d,8d,60,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the color green,the black shade,DIFF,15
8,e,8e,61,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue black white,hue black white,SAME,15
8,f,8f,62,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue white black,hue black white,DIFF,15
8,g,8g,63,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue green beige,hue black white,DIFF,15
8,h,8h,64,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue beige green,hue black white,DIFF,15
9,a,9a,65,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tone blue,the tone blue,SAME,13
9,b,9b,66,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the blue tone,the tone blue,DIFF,13
9,c ,9c ,67,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tint grey,the tone blue,DIFF,13
9,d,9d,68,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the grey tint,the tone blue,DIFF,13
9,e,9e,69,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan pink blue,tan pink blue,SAME,13
9,f,9f,70,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan blue pink,tan pink blue,DIFF,13
9,g,9g,71,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan gold grey,tan pink blue,DIFF,13
9,h,9h,72,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan grey gold,tan pink blue,DIFF,13
10,a,10a,73,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the blue tone,the blue tone,SAME,13
10,b,10b,74,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tone blue,the blue tone,DIFF,13
10,c ,10c ,75,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the grey tint,the blue tone,DIFF,13
10,d,10d,76,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tint grey,the blue tone,DIFF,13
10,e,10e,77,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue blue pink,hue blue pink,SAME,13
10,f,10f,78,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue pink blue,hue blue pink,DIFF,13
10,g,10g,79,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue grey gold,hue blue pink,DIFF,13
10,h,10h,80,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue gold grey,hue blue pink,DIFF,13
11,a,11a,81,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tint blue,the tint blue,SAME,13
11,b,11b,82,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the blue tint,the tint blue,DIFF,13
11,c ,11c ,83,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tone grey,the tint blue,DIFF,13
11,d,11d,84,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the grey tone,the tint blue,DIFF,13
11,e,11e,85,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan gold blue,tan gold blue,SAME,13
11,f,11f,86,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan blue gold,tan gold blue,DIFF,13
11,g,11g,87,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan pink grey,tan gold blue,DIFF,13
11,h,11h,88,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan grey pink,tan gold blue,DIFF,13
12,a,12a,89,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the blue tint,the blue tint,SAME,13
12,b,12b,90,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tint blue,the blue tint,DIFF,13
12,c ,12c ,91,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the grey tone,the blue tint,DIFF,13
12,d,12d,92,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tone grey,the blue tint,DIFF,13
12,e,12e,93,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue blue gold,hue blue gold,SAME,13
12,f,12f,94,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue gold blue,hue blue gold,DIFF,13
12,g,12g,95,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue grey pink,hue blue gold,DIFF,13
12,h,12h,96,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue pink grey,hue blue gold,DIFF,13
13,a,13a,97,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tone grey,the tone grey,SAME,13
13,b,13b,98,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the grey tone,the tone grey,DIFF,13
13,c ,13c ,99,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tint blue,the tone grey,DIFF,13
13,d,13d,100,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the blue tint,the tone grey,DIFF,13
13,e,13e,101,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan pink grey,tan pink grey,SAME,13
13,f,13f,102,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan grey pink,tan pink grey,DIFF,13
13,g,13g,103,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan gold blue,tan pink grey,DIFF,13
13,h,13h,104,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan blue gold,tan pink grey,DIFF,13
14,a,14a,105,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the grey tone,the grey tone,SAME,13
14,b,14b,106,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tone grey,the grey tone,DIFF,13
14,c ,14c ,107,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the blue tint,the grey tone,DIFF,13
14,d,14d,108,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tint blue,the grey tone,DIFF,13
14,e,14e,109,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue grey pink,hue grey pink,SAME,13
14,f,14f,110,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue pink grey,hue grey pink,DIFF,13
14,g,14g,111,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue blue gold,hue grey pink,DIFF,13
14,h,14h,112,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue gold blue,hue grey pink,DIFF,13
15,a,15a,113,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tint grey,the tint grey,SAME,13
15,b,15b,114,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the grey tint,the tint grey,DIFF,13
15,c ,15c ,115,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tone blue,the tint grey,DIFF,13
15,d,15d,116,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the blue tone,the tint grey,DIFF,13
15,e,15e,117,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan gold grey,tan gold grey,SAME,13
15,f,15f,118,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan grey gold,tan gold grey,DIFF,13
15,g,15g,119,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan pink blue,tan gold grey,DIFF,13
15,h,15h,120,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan blue pink,tan gold grey,DIFF,13
16,a,16a,121,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the grey tint,the grey tint,SAME,13
16,b,16b,122,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tint grey,the grey tint,DIFF,13
16,c ,16c ,123,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the blue tone,the grey tint,DIFF,13
16,d,16d,124,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tone blue,the grey tint,DIFF,13
16,e,16e,125,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue grey gold,hue grey gold,SAME,13
16,f,16f,126,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue gold grey,hue grey gold,DIFF,13
16,g,16g,127,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue blue pink,hue grey gold,DIFF,13
16,h,16h,128,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue pink blue,hue grey gold,DIFF,13
17,a,17a,129,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the color beige,the color beige,SAME,15
17,b,17b,130,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the beige color,the color beige,DIFF,15
17,c ,17c ,131,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the shade white,the color beige,DIFF,15
17,d,17d,132,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the white shade,the color beige,DIFF,15
17,e,17e,133,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan green beige,tan green beige,SAME,15
17,f,17f,134,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan beige green,tan green beige,DIFF,15
17,g,17g,135,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan black white,tan green beige,DIFF,15
17,h,17h,136,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan white black,tan green beige,DIFF,15
18,a,18a,137,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the beige color,the beige color,SAME,15
18,b,18b,138,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the color beige,the beige color,DIFF,15
18,c ,18c ,139,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the white shade,the beige color,DIFF,15
18,d,18d,140,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the shade white,the beige color,DIFF,15
18,e,18e,141,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue beige green,hue beige green,SAME,15
18,f,18f,142,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue green beige,hue beige green,DIFF,15
18,g,18g,143,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue white black,hue beige green,DIFF,15
18,h,18h,144,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue black white,hue beige green,DIFF,15
19,a,19a,145,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the shade beige,the shade beige,SAME,15
19,b,19b,146,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the beige shade,the shade beige,DIFF,15
19,c ,19c ,147,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the color white,the shade beige,DIFF,15
19,d,19d,148,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the white color,the shade beige,DIFF,15
19,e,19e,149,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan black beige,tan black beige,SAME,15
19,f,19f,150,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan beige black,tan black beige,DIFF,15
19,g,19g,151,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan green white,tan black beige,DIFF,15
19,h,19h,152,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan white green,tan black beige,DIFF,15
20,a,20a,153,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the beige shade,the beige shade,SAME,15
20,b,20b,154,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the shade beige,the beige shade,DIFF,15
20,c ,20c ,155,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the white color,the beige shade,DIFF,15
20,d,20d,156,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the color white,the beige shade,DIFF,15
20,e,20e,157,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue beige black,hue beige black,SAME,15
20,f,20f,158,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue black beige,hue beige black,DIFF,15
20,g,20g,159,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue white green,hue beige black,DIFF,15
20,h,20h,160,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue green white,hue beige black,DIFF,15
21,a,21a,161,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the color white,the color white,SAME,15
21,b,21b,162,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the white color,the color white,DIFF,15
21,c ,21c ,163,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the shade beige,the color white,DIFF,15
21,d,21d,164,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the beige shade,the color white,DIFF,15
21,e,21e,165,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan green white,tan green white,SAME,15
21,f,21f,166,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan white green,tan green white,DIFF,15
21,g,21g,167,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan black beige,tan green white,DIFF,15
21,h,21h,168,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan beige black,tan green white,DIFF,15
22,a,22a,169,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the white color,the white color,SAME,15
22,b,22b,170,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the color white,the white color,DIFF,15
22,c ,22c ,171,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the beige shade,the white color,DIFF,15
22,d,22d,172,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the shade beige,the white color,DIFF,15
22,e,22e,173,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue white green,hue white green,SAME,15
22,f,22f,174,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue green white,hue white green,DIFF,15
22,g,22g,175,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue beige black,hue white green,DIFF,15
22,h,22h,176,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue black beige,hue white green,DIFF,15
23,a,23a,177,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the shade white,the shade white,SAME,15
23,b,23b,178,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the white shade,the shade white,DIFF,15
23,c ,23c ,179,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the color beige,the shade white,DIFF,15
23,d,23d,180,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the beige color,the shade white,DIFF,15
23,e,23e,181,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan black white,tan black white,SAME,15
23,f,23f,182,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan white black,tan black white,DIFF,15
23,g,23g,183,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan green beige,tan black white,DIFF,15
23,h,23h,184,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan beige green,tan black white,DIFF,15
24,a,24a,185,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the white shade,the white shade,SAME,15
24,b,24b,186,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the shade white,the white shade,DIFF,15
24,c ,24c ,187,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the beige color,the white shade,DIFF,15
24,d,24d,188,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the color beige,the white shade,DIFF,15
24,e,24e,189,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue white black,hue white black,SAME,15
24,f,24f,190,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue black white,hue white black,DIFF,15
24,g,24g,191,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue beige green,hue white black,DIFF,15
24,h,24h,192,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue green beige,hue white black,DIFF,15
25,a,25a,193,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tone pink,the tone pink,SAME,13
25,b,25b,194,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Noun-Noun,the pink tone,the tone pink,DIFF,13
25,c ,25c ,195,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Noun-Noun,the tint gold,the tone pink,DIFF,13
25,d,25d,196,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Noun-Noun,the gold tint,the tone pink,DIFF,13
25,e,25e,197,List_Identity,List,Identity,SameWords,SameStruc,Noun-Noun,tan blue pink,tan blue pink,SAME,13
25,f,25f,198,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Noun-Noun,tan pink blue,tan blue pink,DIFF,13
25,g,25g,199,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Noun-Noun,tan grey gold,tan blue pink,DIFF,13
25,h,25h,200,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Noun-Noun,tan gold grey,tan blue pink,DIFF,13
26,a,26a,201,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Adj-Noun,the pink tone,the pink tone,SAME,13
26,b,26b,202,Phrase_DiffOrder,Phrase,DiffOrder,SameWords,DiffStruc,Adj-Noun,the tone pink,the pink tone,DIFF,13
26,c ,26c ,203,Phrase_DiffWords,Phrase,DiffWords,DiffWords,SameStruc,Adj-Noun,the gold tint,the pink tone,DIFF,13
26,d,26d,204,Phrase_DiffBoth,Phrase,DiffBoth,DiffWords,DiffStruc,Adj-Noun,the tint gold,the pink tone,DIFF,13
26,e,26e,205,List_Identity,List,Identity,SameWords,SameStruc,Adj-Noun,hue pink blue,hue pink blue,SAME,13
26,f,26f,206,List_DiffOrder,List,DiffOrder,SameWords,DiffStruc,Adj-Noun,hue blue pink,hue pink blue,DIFF,13
26,g,26g,207,List_DiffWords,List,DiffWords,DiffWords,SameStruc,Adj-Noun,hue gold grey,hue pink blue,DIFF,13
26,h,26h,208,List_DiffBoth,List,DiffBoth,DiffWords,DiffStruc,Adj-Noun,hue grey gold,hue pink blue,DIFF,13
27,a,27a,209,Phrase_Identity,Phrase,Identity,SameWords,SameStruc,Noun-Noun,the tint pink,the tint pink,SAME,13
